object_type,Cultures/periods,count
pin,Anglo-Saxon,16
squeeze-mould,Classic Maya,16
stela,12th Dynasty,16
axe,Chalcolithic,16
strap-fitting,Early Anglo-Saxon,16
knife,Merovingian,16
stela,Ptolemaic,16
vase,Middle Kingdom,16
figure,Tang dynasty,16
figurine,Aztec,16
rubber,Neolithic,16
band-cup,Attic,16
ear-ring,New Kingdom,16
button,Neolithic/Bronze Age,16
jar,Medieval,16
blade,Prehistoric,16
jar,Heisei Era,16
bowl,Halaf,16
sword-sheath,Iron Age,16
vase,Chimu,16
figure,Classic Maya,16
netsuke,Meiji Era,16
bowl,Merovingian,16
figure,Edo Period,16
tile,Ilkhanid dynasty,16
finger-ring,Early Byzantine,16
jar,Predynastic,16
diptychprint,Meiji Era,16
stud,Early Anglo-Saxon,16
jar,Tang dynasty,16
animalremains,Romano-British,16
levalloisflake,Palaeolithic,16
shabti,20th Dynasty,16
macehead,Neolithic/Bronze Age,16
jar,Post-Medieval,16
album,Persian,16
album,Ming dynasty,16
sidescraper,Palaeolithic,16
lamp,Coptic,16
bottle,Post-Medieval,16
coin,Italic,16
cast,Maya,16
cup,Colonial,16
print,Anei Era,15
bead,Meroitic,15
point,Middle Palaeolithic,15
point,Middle Stone Age,15
shabti,18th Dynasty,15
facejug,Medieval,15
dish,Islamic,15
stela,Roman Period,15
plaque,Napatan,15
pendant,Late Roman,15
papyrus,Roman Period,15
pendant,Islamic,15
ostracon,20th Dynasty,15
opium-pipe,Qing dynasty,15
oculistsstamp,Romano-British,15
painting,Bunka Era,15
tile,Ming dynasty,15
cup,Edo Period,15
cup,Neolithic,15
cylinder,Neo-Assyrian,15
balusterjug,Post-Medieval,15
balusterjug,Medieval,15
torc,Middle Bronze Age,15
shabti,26th Dynasty,15
bladecore,Neolithic/Bronze Age,15
calligraphy,Heisei Era,15
vessel,Nasca,15
mirror,Romano-British,15
tombstone,Romano-British,15
blade,Middle Palaeolithic,15
bladecore,Upper Palaeolithic,15
artefact,Classic Maya,15
blade,Bronze Age,15
nail,Early Anglo-Saxon,15
dedicatorycone,Mesopotamian,15
scarab,Third Intermediate,15
vessel,Kamakura Period,15
buckle,Early Medieval,15
buckle,Late Medieval,15
statue,Hellenistic,15
strap-end,Late Anglo-Saxon,15
bowl,Ubaid,15
illustratedbook,Horeki Era,15
hangingscroll,Meiji Era,15
vessel,Early Medieval,15
amulet,Mesopotamian,15
roughout,Neolithic,15
